need_id,plant_id,plant_name,fuel,category,cadence_months,annual_cost_$,risk_if_deferred,resource_types,lead_time_months,source_project_id,notes
SUST_PLANT_BOWEN_U1_704,plant_eia-10023-0_8943bb,PLANT_BOWEN_U1,coal,Water Treatment & Chemistry Controls Modernization,60,500000,Medium – scaling and corrosion risk increases,"I&C, chemical, mechanical",5,"Install new conductivity analyzers, upgrade chemical feed systems, automate sample collection.",
SUST_PLANT_BOWEN_U1_705,plant_eia-10023-0_8943bb,PLANT_BOWEN_U1,coal,Ash Handling System Replacement,72,1100000,High – ash buildup and environmental compliance impact,"mechanical, electrical, environmental",10,"Replace sluice lines with dry bottom ash handling, install new clinker grinders and drag conveyors.",
SUST_PLANT_BOWEN_U1_706,plant_eia-10023-0_8943bb,PLANT_BOWEN_U1,coal,Stack Liner & Breeching Inspection Program,36,300000,Medium – corrosion could lead to forced outage,"civil, inspection, materials",4,"Perform ultrasonic inspections, repair liner defects, replace access platforms as needed.",
SUST_PLANT_BOWEN_U1_boiler_Pulverizer_overhaul,plant_eia-10023-0_8943bb,PLANT_BOWEN_U1,coal,Pulverizer overhaul,24,6880767,4,"mechanical,materials",4,,Generated from fuel-aligned catalog
SUST_PLANT_BOWEN_U1_boiler_tube,plant_eia-10023-0_8943bb,PLANT_BOWEN_U1,coal,Boiler tube inspection & repair,12,1791793,4,"mechanical,NDT",2,,Generated from fuel-aligned catalog
SUST_PLANT_BOWEN_U1_SCR_catalyst_changeout,plant_eia-10023-0_8943bb,PLANT_BOWEN_U1,coal,SCR catalyst changeout,36,4109017,5,"mechanical,environmental",5,,Generated from fuel-aligned catalog
SUST_plant_doe-lpo-nan_6ec756_spillway_&_gate_maintena,plant_doe-lpo-nan_6ec756,Plant 1,hydro,Spillway & gate maintenance,24,1317971,4,"civil,mechanical",3,,Generated from fuel-aligned catalog
SUST_plant_doe-lpo-nan_6ec756_turbine/generator_runner,plant_doe-lpo-nan_6ec756,Plant 1,hydro,Turbine/generator runner inspection,24,2633997,4,"mechanical,electrical",4,,Generated from fuel-aligned catalog
SUST_plant_eia-10001-0_063c52_gas_turbine_borescope_&_,PLANT_DAHLBERG_CT_135,Dahlberg CTs 1/3/5,gas,Gas turbine borescope & hot-section insp.,12,1787308,3,"mechanical,GT",3,,Generated from fuel-aligned catalog
SUST_plant_eia-10001-0_063c52_generator_inspection,PLANT_DAHLBERG_CT_135,Dahlberg CTs 1/3/5,gas,Generator inspection,36,831195,4,electrical,4,,Generated from fuel-aligned catalog
SUST_plant_eia-10001-0_063c52_hrsg_tube_cleaning_&_ins,PLANT_DAHLBERG_CT_135,Dahlberg CTs 1/3/5,gas,HRSG tube cleaning & inspection,18,1596108,3,"mechanical,NDT",3,,Generated from fuel-aligned catalog
SUST_plant_eia-10015-0_0e2230_blade_inspection_&_repai,plant_eia-10015-0_0e2230,Plant 17,wind,Blade inspection & repair,12,240893,4,"blade,rope",3,,Generated from fuel-aligned catalog
SUST_plant_eia-10015-0_0e2230_gearbox_oil_change,plant_eia-10015-0_0e2230,Plant 17,wind,Gearbox oil change,24,108446,4,mechanical,2,,Generated from fuel-aligned catalog
SUST_plant_eia-10015-0_0e2230_main_bearing_inspection,plant_eia-10015-0_0e2230,Plant 17,wind,Main bearing inspection,24,80266,3,mechanical,3,,Generated from fuel-aligned catalog
SUST_plant_eia-10018-0_66d132_inverter_preventative_ma,plant_eia-10020-0_6bff7e,Mountain Solar,solar,Inverter preventative maintenance,12,87099,3,electrical,2,,Generated from fuel-aligned catalog
SUST_plant_eia-10018-0_66d132_pv_array_cleaning_&_repa,plant_eia-10020-0_6bff7e,Mountain Solar,solar,PV array cleaning & repair,12,56907,4,technicians,1,,Generated from fuel-aligned catalog
SUST_plant_eia-10018-0_66d132_tracker_inspection_&_rea,plant_eia-10020-0_6bff7e,Mountain Solar,solar,Tracker inspection & realignment,18,116217,4,mechanical,2,,Generated from fuel-aligned catalog
SUST_plant_eia-10020-0_6bff7e_brine_pumps/heat_exchang,plant_eia-10020-0_6bff7e,Plant 22,geothermal,Brine pumps/heat exchanger clean,18,758585,3,mechanical,3,,Generated from fuel-aligned catalog
SUST_plant_eia-10020-0_6bff7e_wellfield_inspection_&_w,plant_eia-10020-0_6bff7e,Plant 22,geothermal,Wellfield inspection & workover,24,3439258,5,"reservoir,mechanical",6,,Generated from fuel-aligned catalog
SUST_plant_eia-10024-0_680a25_combustor_hardware_refre,plant_gpc-bartletts-ferry-5-6_58bb51,Bartletts Ferry 5&6,hydro,Spillway & gate maintenance,24,1317971,4,"civil,mechanical",3,,Generated from fuel-aligned catalog
SUST_plant_eia-10024-0_680a25_generator_inspection,plant_gpc-bartletts-ferry-5-6_58bb51,Bartletts Ferry 5&6,hydro,Turbine/generator runner inspection,24,2633997,4,"mechanical,electrical",4,,Generated from fuel-aligned catalog
SUST_PLANT_GASTON_U2_containment_inspection,PLANT_GASTON_U2,Plant Gaston U2,nuclear,Containment inspection,24,9325495,4,"civil,mechanical",6,,Generated from fuel-aligned catalog
SUST_PLANT_GASTON_U2_refueling_outage_scope,PLANT_GASTON_U2,Plant Gaston U2,nuclear,Refueling outage scope,18,25641657,4,"nuclear,mechanical,electrical",12,,Generated from fuel-aligned catalog
SUST_PLANT_GASTON_U2_steam_generator_tube_ins,PLANT_GASTON_U2,Plant Gaston U2,nuclear,Steam generator tube inspection,24,15522805,4,"mechanical,NDT",6,,Generated from fuel-aligned catalog
SUST_PLANT_GASTON_U3_blade_inspection_&_repai,PLANT_GASTON_U3,Plant Gaston U3,wind,Blade inspection & repair,12,240893,4,"blade,rope",3,,Generated from fuel-aligned catalog
SUST_PLANT_GASTON_U3_gearbox_oil_change,PLANT_GASTON_U3,Plant Gaston U3,wind,Gearbox oil change,24,108446,4,mechanical,2,,Generated from fuel-aligned catalog
SUST_PLANT_GASTON_U3_main_bearing_inspection,PLANT_GASTON_U3,Plant Gaston U3,wind,Main bearing inspection,24,80266,3,mechanical,3,,Generated from fuel-aligned catalog
SUST_plant_gpc-mcintosh-8a_300994_combustor_hardware_refre,plant_gpc-mcintosh-10-11_5a49a9,McIntosh 10-11,gas,Combustor hardware refresh,24,3345664,5,"mechanical,GT",4,,Generated from fuel-aligned catalog
SUST_plant_gpc-mcintosh-8a_300994_gas_turbine_borescope_&_,plant_gpc-mcintosh-10-11_5a49a9,McIntosh 10-11,gas,Gas turbine borescope & hot-section insp.,12,1636041,4,"mechanical,GT",3,,Generated from fuel-aligned catalog
SUST_plant_gpc-mcintosh-8a_300994_generator_inspection,plant_gpc-mcintosh-10-11_5a49a9,McIntosh 10-11,gas,Generator inspection,36,739389,3,electrical,4,,Generated from fuel-aligned catalog
SUST_plant_gpc-morgan-falls_850259_gas_turbine_borescope_&_,plant_gpc-morgan-falls_850259,Robins AFB; Moody AFB,gas,Gas turbine borescope & hot-section insp.,12,990635,3,"mechanical,GT",3,,Generated from fuel-aligned catalog
SUST_plant_gpc-morgan-falls_850259_generator_inspection,plant_gpc-morgan-falls_850259,Robins AFB; Moody AFB,gas,Generator inspection,36,940271,4,electrical,4,,Generated from fuel-aligned catalog
SUST_plant_gpc-morgan-falls_850259_hrsg_tube_cleaning_&_ins,plant_gpc-morgan-falls_850259,Robins AFB; Moody AFB,gas,HRSG tube cleaning & inspection,18,1198811,2,"mechanical,NDT",3,,Generated from fuel-aligned catalog
SUST_plant_gpc-morgan-falls_850259_spillway_&_gate_maintena,plant_eia-10011-0_9f15f6,Plant 11,hydro,Spillway & gate maintenance,24,1424993,4,"civil,mechanical",3,,Generated from fuel-aligned catalog
SUST_plant_gpc-morgan-falls_850259_turbine/generator_runner,plant_eia-10011-0_9f15f6,Plant 11,hydro,Turbine/generator runner inspection,24,1309838,4,"mechanical,electrical",4,,Generated from fuel-aligned catalog
SUST_plant_gpc-southern-power-nan_1ed779_inverter_preventative_ma,plant_eia-10018-0_66d132,Plant 20,solar,Inverter preventative maintenance,12,60785,4,electrical,2,,Generated from fuel-aligned catalog
SUST_plant_gpc-southern-power-nan_1ed779_pv_array_cleaning_&_repa,plant_eia-10018-0_66d132,Plant 20,solar,PV array cleaning & repair,12,93067,3,technicians,1,,Generated from fuel-aligned catalog
SUST_plant_gpc-southern-power-nan_1ed779_tracker_inspection_&_rea,plant_eia-10018-0_66d132,Plant 20,solar,Tracker inspection & realignment,18,64690,3,mechanical,2,,Generated from fuel-aligned catalog
SUST_plant_southern-power-gpc-sinclair_de80ca_blade_inspection_&_repai,plant_southern-power-gpc-sinclair_de80ca,Cape Wind,wind,Blade inspection & repair,12,129963,4,"blade,rope",3,,Generated from fuel-aligned catalog
SUST_plant_southern-power-gpc-sinclair_de80ca_gearbox_oil_change,plant_southern-power-gpc-sinclair_de80ca,Cape Wind,wind,Gearbox oil change,24,51644,3,mechanical,2,,Generated from fuel-aligned catalog
SUST_plant_southern-power-gpc-sinclair_de80ca_main_bearing_inspection,plant_southern-power-gpc-sinclair_de80ca,Cape Wind,wind,Main bearing inspection,24,179452,4,mechanical,3,,Generated from fuel-aligned catalog
SUST_PLANT_Vogtle 3_containment_inspection,plant_gpc-vogtle-3_f743db,Vogtle 3,nuclear,Containment inspection,24,9325495,4,"civil,mechanical",6,,Generated from fuel-aligned catalog
SUST_PLANT_Vogtle 3_refueling_outage_scope,plant_gpc-vogtle-3_f743db,Vogtle 3,nuclear,Refueling outage scope,18,25641657,4,"nuclear,mechanical,electrical",12,,Generated from fuel-aligned catalog
SUST_PLANT_Vogtle 32_steam_generator_tube_ins,plant_gpc-vogtle-3_f743db,Vogtle 3,nuclear,Steam generator tube inspection,24,15522805,4,"mechanical,NDT",6,,Generated from fuel-aligned catalog
SUST_plant28_701,Plant 28,Plant 28,coal,Instrumentation & Controls Upgrade,60,750000,High – reliability and compliance exposure,"I&C, electrical, controls",9,"Upgrade DCS, replace obsolete PLCs, implement cyber security hardening measures.",
SUST_plant28_702,Plant 28,Plant 28,coal,Coal Conveyor & Fuel Handling Refurbishment,48,600000,Medium – fuel supply interruptions possible,"mechanical, electrical, civil",6,"Replace worn conveyor belts, upgrade drives, inspect structural steel, improve dust suppression.",
SUST_plant28_703,Plant 28,Plant 28,coal,Cooling Tower Structural & Fill Replacement,84,950000,High – heat rate and reliability degradation,"civil, mechanical",8,"Replace tower fill, inspect basin, replace fan gearboxes, structural rehab of drift eliminators.",
SUST_plant28_boiler_tube,Plant 28,Plant 28,coal,Boiler tube inspection & repair,12,1118051,4,"mechanical,NDT",2,,Generated from fuel-aligned catalog
SUST_plant28_gypsum_handling_upkeep,Plant 28,Plant 28,coal,FGD/gypsum handling upkeep,24,5318883,4,"mechanical,environmental",4,,Generated from fuel-aligned catalog
SUST_plant28_SCR_catalyst_changeout,Plant 28,Plant 28,coal,SCR catalyst changeout,36,6569150,3,"mechanical,environmental",5,,Generated from fuel-aligned catalog
SUST_plant9_704,Plant 9,Plant 9,coal,Water Treatment & Chemistry Controls Modernization,60,500000,Medium – scaling and corrosion risk increases,"I&C, chemical, mechanical",5,"Install new conductivity analyzers, upgrade chemical feed systems, automate sample collection.",
SUST_plant9_705,Plant 9,Plant 9,coal,Ash Handling System Replacement,72,1100000,High – ash buildup and environmental compliance impact,"mechanical, electrical, environmental",10,"Replace sluice lines with dry bottom ash handling, install new clinker grinders and drag conveyors.",
SUST_plant9_706,Plant 9,Plant 9,coal,Stack Liner & Breeching Inspection Program,36,300000,Medium – corrosion could lead to forced outage,"civil, inspection, materials",4,"Perform ultrasonic inspections, repair liner defects, replace access platforms as needed.",
SUST_plant9_boiler_Pulverizer_overhaul,Plant 9,Plant 9,coal,Pulverizer overhaul,24,6880767,4,"mechanical,materials",4,,Generated from fuel-aligned catalog
SUST_plant9_boiler_tube,Plant 9,Plant 9,coal,Boiler tube inspection & repair,12,1791793,4,"mechanical,NDT",2,,Generated from fuel-aligned catalog
SUST_plant9_SCR_catalyst_changeout,Plant 9,Plant 9,coal,SCR catalyst changeout,36,4109017,5,"mechanical,environmental",5,,Generated from fuel-aligned catalog
